"mean","sd","sd_low","sd_high","month","year","parameter"
9.7531491724244,0.645664776238534,9.10748439618587,10.3988139486629,"May","2009","bottomT"
10.0516923101476,0.635635611338105,9.41605669880945,10.6873279214857,"May","2010","bottomT"
9.87848950471807,0.654487579790364,9.22400192492771,10.5329770845084,"May","2011","bottomT"
10.319165516325,0.225967428621466,10.0931980877036,10.5451329449465,"May","2012","bottomT"
9.67011653444793,0.543149878127466,9.12696665632046,10.2132664125754,"May","2013","bottomT"
10.0524918439851,0.64634514196295,9.40614670202212,10.698836985948,"June","2009","bottomT"
10.2192610826754,0.668762280774355,9.55049880190106,10.8880233634498,"June","2010","bottomT"
10.5138974603063,0.386333978426343,10.1275634818799,10.9002314387326,"June","2011","bottomT"
10.4283892977367,0.332976054043926,10.0954132436927,10.7613653517806,"June","2012","bottomT"
9.98688578026289,0.619497092174056,9.36738868808883,10.6063828724369,"June","2013","bottomT"
10.2219091014492,0.605466203242852,9.61644289820635,10.8273753046921,"July","2009","bottomT"
10.3525128372563,0.597481321206636,9.75503151604965,10.9499941584629,"July","2010","bottomT"
10.818997707898,0.414998631908327,10.4039990759896,11.2339963398063,"July","2011","bottomT"
10.408358993755,0.313217306498843,10.0951416872561,10.7215763002538,"July","2012","bottomT"
9.99990675990233,0.678891756008985,9.32101500389335,10.6787985159113,"July","2013","bottomT"
